# Native language names
# extracted from http://td.unfoldingword.org/exports/langnames.json

aa	Afaraf
avl	Eastern Egyptian Bedawi Arabic
avn	Avatime
avt	Au
avu	Avokaya
avv	Avá-Canoeiro
awa	Awadhi
awb	Awa (Papua New Guinea)
awc	Cicipu
awe	Awetí
awh	Awbono
awi	Aekyom
awk	Awabakal
awm	Arawum
awn	Awngi
awo	Awak
awr	Awera
aws	South Awyu
awt	Araweté
awu	Central Awyu
awv	Jair Awyu
aww	Awun
awx	Awara
awy	Edera Awyu
axg	Mato Grosso Arára
axk	Yaka (Central African Republic)
axm	Middle Armenian
axx	Xârâgurè
ay	aymar aru
aya	Awar
ayb	Ayizo Gbe
ayc	Southern Aymara
aye	Ayere
ayg	Ginyanga
ayh	Hadrami Arabic
ayi	Leyigha
ayk	Akuku
ayl	Libyan Arabic
ayn	Sanaani Arabic
ayo	Ayoreo
ayp	North Mesopotamian Arabic
ayq	Ayi (Papua New Guinea)
ayr	Central Aymara
ays	Sorsogon Ayta
ayt	Magbukun Ayta
ayu	Ayu
ayz	Mai Brat
az	azərbaycan dili
aza	Azha
azb	South Azerbaijani
azd	Eastern Durango Nahuatl
azg	San Pedro Amuzgos Amuzgo
azj	North Azerbaijani
azm	Ipalapa Amuzgo
azn	Western Durango Nahuatl
azo	Awing
azt	Faire Atta
azz	Highland Puebla Nahuatl
ba	башҡорт теле
baa	Babatana
bab	Bainouk-Gunyuño
bac	Badui
bae	Baré
baf	Nubaca
bag	Tuki
bah	Bahamas Creole English
baj	Barakai
bal	Baluchi
ban	Balinese
bao	Waimaha
bap	Bantawa
bar	Bavarian
bas	Basa (Cameroon)
bau	Bada (Nigeria)
bav	Vengo
baw	Bambili-Bambui
bax	Bamun
bay	Batuley
bba	Baatonum
bbb	Barai
bbc	Batak Toba
bbd	Bau
bbe	Bangba
bbf	Baibai
bbg	Barama
bbh	Bugan
bbi	Barombi
bbj	Ghomálá'
bbk	Babanki
bbl	Bats
bbm	Babango
bbn	Uneapa
bbo	Northern Bobo Madaré
bbp	West Central Banda
bbq	Bamali
bbr	Girawa
bbs	Bakpinka
bbt	Mburku
bbu	Kulung (Nigeria)
bbv	Karnai
bbw	Baba
bbx	Bubia
bby	Befang
bbz	Babalia Creole Arabic
bca	Central Bai
bcb	Bainouk-Samik
bcc	Southern Balochi
bcd	North Babar
bce	Bamenyam
bcf	Bamu
bcg	Baga Binari
bch	Bariai
bci	Baoulé
bcj	Bardi
bck	Bunaba
bcl	Central Bikol
bcm	Bannoni
bcn	Bali (Nigeria)
bco	Kaluli
bcp	Bali (Democratic Republic of Congo)
